+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Experiment              | Created      | reports\metrics_catboost.json:R2 | reports\metrics_catboost.json:MSE | reports\metrics_catboost.json:MAPE | reports\metrics_catboost.json:EV | reports\metrics_xgboost.json:R2 | reports\metrics_xgboost.json:MSE | reports\metrics_xgboost.json:MAPE | reports\metrics_xgboost.json:EV | train.test_size | train.iterations | train.loss_function | train.learning_rate | train.ctr_leaf_count_limit | train.max_depth | train.booster | train.eta | train.tree_method | train.random_state |
|-------------------------+--------------+----------------------------------+-----------------------------------+------------------------------------+----------------------------------+---------------------------------+----------------------------------+-----------------------------------+---------------------------------+-----------------+------------------+---------------------+---------------------+----------------------------+-----------------+---------------+-----------+-------------------+--------------------|
| workspace               | -            |                          0.88374 |                        9.3481e+08 |                           0.098926 |                          0.88885 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| main                    | Oct 21, 2022 |                          0.83413 |                        1.3337e+09 |                            0.13098 |                          0.83586 |                          0.8933 |                       8.5795e+08 |                          0.095363 |                         0.89377 | 0.2             | 15               | RMSE                | 0.2                 | 20                         | 4               | dart          | 0.2       | exact             | 77                 |
| \u251c\u2500\u2500 c4d1983 [exp-3d8d2] | 01:09 AM     |                          0.88374 |                        9.3481e+08 |                           0.098926 |                          0.88885 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 10c2bd9 [exp-dee1e] | 01:08 AM     |                          0.91614 |                        5.9715e+08 |                           0.091235 |                           0.9167 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 84e709f [exp-f96f0] | 01:07 AM     |                          0.88374 |                        9.3481e+08 |                           0.098926 |                          0.88885 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 17e54e1 [exp-97b6c] | 01:06 AM     |                          0.91614 |                        5.9715e+08 |                           0.091235 |                           0.9167 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 abf05ca [exp-b4038] | 01:05 AM     |                          0.88374 |                        9.3481e+08 |                           0.098926 |                          0.88885 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 a4107fa [exp-b876f] | 01:03 AM     |                          0.91614 |                        5.9715e+08 |                           0.091235 |                           0.9167 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 361d014 [exp-6167e] | 01:02 AM     |                          0.88374 |                        9.3481e+08 |                           0.098926 |                          0.88885 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 34f53c0 [exp-c2e0f] | 01:01 AM     |                          0.91614 |                        5.9715e+08 |                           0.091235 |                           0.9167 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 363f7bd [exp-caf52] | 01:00 AM     |                          0.84842 |                        1.2188e+09 |                           0.098242 |                          0.84971 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 9fc2316 [exp-9df27] | 12:59 AM     |                          0.88374 |                         8.279e+08 |                             0.1047 |                          0.88602 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 6945174 [exp-465d5] | 12:59 AM     |                          0.84842 |                        1.2188e+09 |                           0.098242 |                          0.84971 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 362cb9f [exp-31981] | 12:58 AM     |                          0.88374 |                         8.279e+08 |                             0.1047 |                          0.88602 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 3738dba [exp-e8bfe] | 12:57 AM     |                          0.84842 |                        1.2188e+09 |                           0.098242 |                          0.84971 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 2cc0301 [exp-3875d] | 12:57 AM     |                          0.88374 |                         8.279e+08 |                             0.1047 |                          0.88602 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 c765a27 [exp-83201] | 12:56 AM     |                          0.84842 |                        1.2188e+09 |                           0.098242 |                          0.84971 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 667eb10 [exp-ba5ab] | 12:55 AM     |                          0.88374 |                         8.279e+08 |                             0.1047 |                          0.88602 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 5                          | 1               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 4986ec2 [exp-fcdac] | 12:54 AM     |                          0.90315 |                        7.7871e+08 |                           0.093677 |                          0.90335 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 1bf7605 [exp-7e9ea] | 12:53 AM     |                          0.91682 |                        5.9234e+08 |                           0.097332 |                          0.91732 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 8733a01 [exp-dc495] | 12:52 AM     |                          0.90315 |                        7.7871e+08 |                           0.093677 |                          0.90335 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 0900daf [exp-c68b5] | 12:51 AM     |                          0.91682 |                        5.9234e+08 |                           0.097332 |                          0.91732 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 56a4f73 [exp-cb66b] | 12:50 AM     |                          0.90315 |                        7.7871e+08 |                           0.093677 |                          0.90335 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 64a34f2 [exp-afdd1] | 12:48 AM     |                          0.91682 |                        5.9234e+08 |                           0.097332 |                          0.91732 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 9d820ec [exp-999c3] | 12:47 AM     |                          0.90315 |                        7.7871e+08 |                           0.093677 |                          0.90335 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 2794601 [exp-6087c] | 12:46 AM     |                          0.91682 |                        5.9234e+08 |                           0.097332 |                          0.91732 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 4               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 75f8760 [exp-3cb41] | 12:45 AM     |                           0.8291 |                        1.3741e+09 |                            0.10766 |                          0.82971 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 ba340b0 [exp-ce4b1] | 12:44 AM     |                          0.88098 |                        8.4752e+08 |                            0.10477 |                          0.88126 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 bf1af26 [exp-2b36f] | 12:43 AM     |                           0.8291 |                        1.3741e+09 |                            0.10766 |                          0.82971 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 97af2ea [exp-4dd83] | 12:43 AM     |                          0.88098 |                        8.4752e+08 |                            0.10477 |                          0.88126 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 c6031ed [exp-0b7c7] | 12:42 AM     |                           0.8291 |                        1.3741e+09 |                            0.10766 |                          0.82971 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 c28acea [exp-71a9a] | 12:41 AM     |                          0.88098 |                        8.4752e+08 |                            0.10477 |                          0.88126 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 26a0360 [exp-b9884] | 12:41 AM     |                           0.8291 |                        1.3741e+09 |                            0.10766 |                          0.82971 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 e9b99fb [exp-69553] | 12:40 AM     |                          0.88098 |                        8.4752e+08 |                            0.10477 |                          0.88126 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.2                 | 1                          | 1               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 1d8a9a6 [exp-de10a] | 12:39 AM     |                          0.89963 |                        8.0701e+08 |                            0.08925 |                          0.90228 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 437466a [exp-d5c8f] | 12:38 AM     |                          0.91213 |                        6.2571e+08 |                           0.093208 |                          0.91266 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 4               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 dcd0aa1 [exp-9dd12] | 12:37 AM     |                          0.89963 |                        8.0701e+08 |                            0.08925 |                          0.90228 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 4               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 476ad99 [exp-c261e] | 12:36 AM     |                          0.91213 |                        6.2571e+08 |                           0.093208 |                          0.91266 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 4               | gbtree        | 0.01      | exact             | 1                  |
